# RE2-Leon (SLUS-00748) — Namenstabelle, Index 0..139
# Offsets: u16[140] @0x8009EBAC, relativ zu 0x8009E550 (englisch)
#          u16[140] @0x8009E438, relativ zu 0x8009DF3C (japanisch)
#
idx	id_hex	adresse_en	name_en	bytes_en_hex	adresse_jp	bytes_jp_hex
31	0x1F	0x8009E6A0	Small Key	2f493d484800274155	0x8009E04B	ee2e616bacd6
32	0x20	0x8009E6AA	H. Gun Parts	24010023514a002c3d4e504f	0x8009E052	c0d4e3d5d4e93bb8
33	0x21	0x8009E6B7	Magnum Parts	293d434a5149002c3d4e504f	0x8009E05B	c5d7bbc7e93bb8
34	0x22	0x8009E6C4	Shotgun Parts	2f444b5043514a002c3d4e504f	0x8009E063	b2ee0bee0cbad5d4e93bb8
35	0x23	0x8009E6D2	F. Aid Spray	2201001d4540002f4c4e3d55	0x8009E06F	ef5cef5db3ebd03b
36	0x24	0x8009E6DF	Antivirus bomb	1d4a504552454e514f003e4b493e	0x8009E078	ef4ea9a8cfb3ee2dee25
37	0x25	0x8009E6EE	Chemical AC-W24	1f444149453f3d48001d1f3b330e10	0x8009E083	ef33ef1a1d1f3b330e10
38	0x26	0x8009E6FE	Green Herb	234e41414a0024414e3e	0x8009E08E	d7ce3bd4c03be6
39	0x27	0x8009E709	Red Herb	2e41400024414e3e	0x8009E096	d0ee0ce3c03be6
40	0x28	0x8009E712	Blue Herb	1e4851410024414e3e	0x8009E09E	e6cf3bc03be6
41	0x29	0x8009E71C	Mixed Herb	29455441400024414e3e	0x8009E0A5	ef6aef056266c03be6
42	0x2A	0x8009E727	Mixed Herb	29455441400024414e3e	0x8009E0AF	ef6aef056266c03be6
43	0x2B	0x8009E732	Mixed Herb	29455441400024414e3e	0x8009E0B9	ef6aef056266c03be6
44	0x2C	0x8009E73D	Mixed Herb	29455441400024414e3e	0x8009E0C3	ef6aef056266c03be6
45	0x2D	0x8009E748	Mixed Herb	29455441400024414e3e	0x8009E0CD	ef6aef056266c03be6
46	0x2E	0x8009E753	Mixed Herb	29455441400024414e3e	0x8009E0D7	ef6aef056266c03be6
47	0x2F	0x8009E75E	Lighter	2845434450414e	0x8009E0E1	cda8b63b
48	0x30	0x8009E766	Lockpick	284b3f474c453f47	0x8009E0E6	ad3beaee0cae
49	0x31	0x8009E76F	Picture	2c453f50514e41	0x8009E0ED	ef29ef41
50	0x32	0x8009E777	Valve Handle	323d48524100243d4a404841	0x8009E0F2	e4cfe6c0d4e3cf
51	0x33	0x8009E784	Red Jewel	2e4140002641534148	0x8009E0FA	ef0e58ef22ef0b
52	0x34	0x8009E78E	Red Card Key	2e4140001f3d4e4000274155	0x8009E102	d0ee0ce3ac3be3ad3b
53	0x35	0x8009E79B	Blue Card Key	1e485141001f3d4e4000274155	0x8009E10C	e6cf3bac3be3ad3b
54	0x36	0x8009E7A9	Serpent Stone	2f414e4c414a50002f504b4a41	0x8009E115	b13becd4bab3ba3bd4
55	0x37	0x8009E7B7	Jaguar Stone	263d43513d4e002f504b4a41	0x8009E11F	dbee09d53bb3ba3bd4
56	0x38	0x8009E7C4	Blue Stone	1e485141002f504b4a41	0x8009E129	ef2158ef0b
57	0x39	0x8009E7CF	Blue Stone	1e485141002f504b4a41	0x8009E12F	ef2158ef0b
58	0x3A	0x8009E7DA	Eagle Stone	213d434841002f504b4a41	0x8009E135	a83bd7cfb3ba3bd4
59	0x3B	0x8009E7E6	Bishop Plug	1e454f444b4c002c485143	0x8009E13E	e5b2ee0bee0cebebcdd7
60	0x3C	0x8009E7F2	Rook Plug	2e4b4b47002c485143	0x8009E149	cf3baeebcdd7
61	0x3D	0x8009E7FC	Knight Plug	274a45434450002c485143	0x8009E150	bba8baebcdd7
62	0x3E	0x8009E808	King Plug	27454a43002c485143	0x8009E157	add4d7ebcdd7
63	0x3F	0x8009E812	W. Box Key	3301001e4b5400274155	0x8009E15E	ef19ef08e8ee0caeb36facd6
64	0x40	0x8009E81D	Detonator	2041504b4a3d504b4e	0x8009E16B	ef46ef47
65	0x41	0x8009E827	Plastic Bomb	2c483d4f50453f001e4b493e	0x8009E170	ebcdb3b7ee0caeee2dee25
66	0x42	0x8009E834	Bomb {EE}6 Det.	1e4b493e00ee120020415001	0x8009E17C	ebcdb3b7ee0caeee2dee25
67	0x43	0x8009E841	Crank	1f4e3d4a47	0x8009E188	aecdd4ae
68	0x44	0x8009E847	Film	22454849	0x8009E18D	c2ee05cfc7
69	0x45	0x8009E84C	Film	22454849	0x8009E193	c2ee05cfc7
70	0x46	0x8009E851	Film	22454849	0x8009E199	c2ee05cfc7
71	0x47	0x8009E856	Unicorn Medal	314a453f4b4e4a002941403d48	0x8009E19F	cbbcb03bd46fc8dfcf
72	0x48	0x8009E864	Eagle Medal	213d434841002941403d48	0x8009E1A9	ababd2b26fc8dfcf
73	0x49	0x8009E870	Wolf Medal	334b4842002941403d48	0x8009E1B2	ababacc66fc8dfcf
74	0x4A	0x8009E87B	G. Cogwheel	2301001f4b435344414148	0x8009E1BB	ef736fef74ef6d
75	0x4B	0x8009E887	Manhole Opener	293d4a444b4841002b4c414a414e	0x8009E1C3	c5d4c43bcfab3bebbb3b
76	0x4C	0x8009E896	Main Fuse	293d454a0022514f41	0x8009E1CE	c8a8d4c1ee0a3bdc
77	0x4D	0x8009E8A0	Fuse Case	22514f41001f3d4f41	0x8009E1D7	c1ee0a3bdcaf3bb3
78	0x4E	0x8009E8AA	Vaccine	323d3f3f454a41	0x8009E1E0	d2aeb7d4
79	0x4F	0x8009E8B2	Vaccine Cart.	323d3f3f454a41001f3d4e5001	0x8009E1E5	d2aeb7d4ac3bbaceee0cdb
80	0x50	0x8009E8C0	Film	22454849	0x8009E1F1	c2ee05cfc7
81	0x51	0x8009E8C5	Base Vaccine	1e3d4f4100323d3f3f454a41	0x8009E1F7	d2aeb7d4e73bb3
82	0x52	0x8009E8D2	G-virus	233b52454e514f	0x8009E1FF	233ba9a8cfb3
83	0x53	0x8009E8DA	Special Key	2f4c413f453d4800274155	0x8009E206	b3ecb2ee09cfad3b
84	0x54	0x8009E8E6	Joint S Plug	264b454a50002f002c485143	0x8009E20F	dbee0ba8d4ba3c2febcdd7
85	0x55	0x8009E8F3	Joint N Plug	264b454a50002a002c485143	0x8009E21B	dbee0ba8d4ba3c2aebcdd7
86	0x56	0x8009E900	Cord	1f4b4e40	0x8009E227	ee34ef04b03be3
87	0x57	0x8009E905	Picture	2c453f50514e41	0x8009E22F	ef29ef41
88	0x58	0x8009E90D	Cabin Key	1f3d3e454a00274155	0x8009E234	ee2eef286facd6
89	0x59	0x8009E917	Precinct Key	2c4e413f454a3f5000274155	0x8009E23C	ef63ef62ef566facd6
90	0x5A	0x8009E924	Precinct Key	2c4e413f454a3f5000274155	0x8009E246	ef63ef62ef566facd6
91	0x5B	0x8009E931	Precinct Key	2c4e413f454a3f5000274155	0x8009E250	ef63ef62ef566facd6
92	0x5C	0x8009E93E	Precinct Key	2c4e413f454a3f5000274155	0x8009E25A	ef63ef62ef566facd6
93	0x5D	0x8009E94B	C. Panel Key	1f01002c3d4a414800274155	0x8009E264	aaef7f6facd6
94	0x5E	0x8009E958	C. Panel Key	1f01002c3d4a414800274155	0x8009E26B	aaef7f6facd6
95	0x5F	0x8009E965	P. Room Key	2c01002e4b4b4900274155	0x8009E272	ef02ee2bef276facd6
96	0x60	0x8009E971	MO disk	292b0040454f47	0x8009E27C	292be2ee05b3ae
97	0x61	0x8009E979	Lab Card Key	283d3e001f3d4e4000274155	0x8009E284	cde8ac3be3ad3b
98	0x62	0x8009E986	Master Key	293d4f50414e00274155	0x8009E28C	c5b3b63bad3b
99	0x63	0x8009E991	Platform Key	2c483d50424b4e4900274155	0x8009E293	c43bc76facd6
100	0x64	0x8009E99E	no item	4a4b0045504149	0x8009E29A	4a4b0045504149
101	0x65	0x8009E9A6	no item	4a4b0045504149	0x8009E2A2	4a4b0045504149
102	0x66	0x8009E9AE	no item	4a4b0045504149	0x8009E2AA	4a4b0045504149
103	0x67	0x8009E9B6	no item	4a4b0045504149	0x8009E2B2	4a4b0045504149
104	0x68	0x8009E9BE	CHRIS's diary	1f242e252f3a4f0040453d4e55	0x8009E2BA	aeceb36fef5fef45
105	0x69	0x8009E9CC	Mail to Chris	293d454800504b001f444e454f	0x8009E2C3	aeceb357696fef6aef77ef89ef8bef00
106	0x6A	0x8009E9DA	Memo to LEON	2941494b00504b0028212b2a	0x8009E2D4	d0abd457696fc8c9
107	0x6B	0x8009E9E7	Police memorandum	2c4b48453f41004941494b4e3d4a405149	0x8009E2DD	ef56ef36ef30ef8c
108	0x6C	0x8009E9F9	Operation report 1	2b4c414e3d50454b4a004e414c4b4e50000d	0x8009E2E6	ef43ef90ef89ef8bef000d
109	0x6D	0x8009EA0C	Mail to the chief	293d454800504b00504441003f44454142	0x8009E2F2	ef56ef0757696fc83bcf
110	0x6E	0x8009EA1E	Mail to the chief	293d454800504b00504441003f44454142	0x8009E2FD	ef56ef0757696fc83bcf6fef2962
111	0x6F	0x8009EA30	Secretary's diary A	2f413f4e41503d4e553a4f0040453d4e55001d	0x8009E30C	ef8def006fef5fef451d
112	0x70	0x8009EA44	Secretary's diary B	2f413f4e41503d4e553a4f0040453d4e55001e	0x8009E317	ef8def006fef5fef451e
113	0x71	0x8009EA58	Operation report 2	2b4c414e3d50454b4a004e414c4b4e50000e	0x8009E322	ef43ef90ef89ef8bef000e
114	0x72	0x8009EA6B	User registration	314f414e004e4143454f504e3d50454b4a	0x8009E32E	cb3bda3bef95ef39ef96ef97
115	0x73	0x8009EA7D	Film A	22454849001d	0x8009E33B	c2ee05cfc71d
116	0x74	0x8009EA84	Film B	22454849001e	0x8009E342	c2ee05cfc71e
117	0x75	0x8009EA8B	Film C	22454849001f	0x8009E349	c2ee05cfc71f
118	0x76	0x8009EA92	Patrol report	2c3d504e4b48004e414c4b4e50	0x8009E350	e9bad13bcfef89ef8bef00
119	0x77	0x8009EAA0	Watchman's diary	333d503f44493d4a3a4f0040453d4e55	0x8009E35C	dbee0b3bdb6fef5fef45
120	0x78	0x8009EAB1	Chief's diary	1f444541423a4f0040453d4e55	0x8009E367	ef56ef076fef8aef45
121	0x79	0x8009EABF	Sewer manager diary	2f4153414e00493d4a3d43414e0040453d4e55	0x8009E371	ee20ef7def47ef3def9d6fef5fef89
122	0x7A	0x8009EAD3	Sewer manager fax	2f4153414e00493d4a3d43414e00423d54	0x8009E381	ee20ef7def47ef3def9dc36f221d34
123	0x7B	0x8009EAE5	Film D	224548490020	0x8009E391	c2ee05cfc720
124	0x7C	0x8009EAEC	Vaccine synthesis	323d3f3f454a41004f554a5044414f454f	0x8009E398	23d2aeb7d42021322528ef69ef9aef96ef97
125	0x7D	0x8009EAFE	Lab security manual	283d3e004f413f514e45505500493d4a513d48	0x8009E3AB	ef80ef81ef91ef92ef8eef8fc5bcee0aa7cf
126	0x7E	0x8009EB12	P-epsilon report	2c3b414c4f45484b4a004e414c4b4e50	0x8009E3BE	d5b36cef9e637fef6aef77ef89ef8b
127	0x7F	0x8009EB23	Rookie files	2e4b4b47454100424548414f	0x8009E3CE	cf3bad3bc2ee04a8cf
128	0x80	0x8009EB30	Rookie files	2e4b4b47454100424548414f	0x8009E3D8	cf3bad3bc2ee04a8cf
129	0x81	0x8009EB3D	no item	4a4b0045504149	0x8009E3E2	4a4b0045504149
130	0x82	0x8009EB45	Spade Key	2f4c3d404100274155	0x8009E3EA	b3ec3be36facd6
131	0x83	0x8009EB4F	Diamond Key	20453d494b4a4000274155	0x8009E3F2	dfa8ca6facd6
132	0x84	0x8009EB5B	Desk Key	20414f4700274155	0x8009E3F9	ef576facd6
133	0x85	0x8009EB64	Heart Key	24413d4e5000274155	0x8009E3FF	c03bba6facd6
134	0x86	0x8009EB6E	Club Key	1f48513e00274155	0x8009E406	aecde66facd6
135	0x87	0x8009EB77	Virgin Heart	32454e43454a0024413d4e50	0x8009E40D	e43bdbd4c03bba
136	0x88	0x8009EB84	Square Crank	2f4d513d4e41001f4e3d4a47	0x8009E415	10ef03aecdd4ae
137	0x89	0x8009EB91	Down Key	204b534a00274155	0x8009E41D	03202b332a04ad3b
138	0x8A	0x8009EB9A	Up Key	314c00274155	0x8009E426	03312c04ad3b
139	0x8B	0x8009EBA1	Locker Key	284b3f47414e00274155	0x8009E42D	d1ee0cac3b6facd6
