seite,pix,rect,rect_x,rect_y,rect_w,rect_h,uv_u,uv_v,typ,maske,px_im_rect_x,px_im_rect_y,px_w,px_h,px_n,screen_x,screen_y,uv_x,uv_y,wand,ausrichtung,palette_index,raeume,maskenbits
1,MAP02.PIX,4,187,78,16,24,72,32,TUER,5x5 Standard,9,2,5,5,11,196,80,81,34,E,senkrecht,4,ROOM1210.z0;ROOM1220.z0,XXXXX|X....|X....|.X...|..XXX
1,MAP02.PIX,5,187,95,16,24,72,32,TUER,5x5 Standard,9,2,5,5,11,196,97,81,34,E,senkrecht,4,ROOM1200.z0,XXXXX|X....|X....|.X...|..XXX
1,MAP02.PIX,6,212,78,16,24,72,56,TUER,5x5 Standard,1,11,5,5,11,213,89,73,67,W,senkrecht,4,ROOM11F0.z1,XXX..|...X.|....X|....X|XXXXX
1,MAP02.PIX,7,212,95,16,24,72,56,TUER,5x5 Standard,1,11,5,5,11,213,106,73,67,W,senkrecht,4,ROOM1240.z0,XXX..|...X.|....X|....X|XXXXX
1,MAP02.PIX,8,212,112,16,24,72,56,TUER,5x5 Standard,1,11,5,5,11,213,123,73,67,W,senkrecht,4,ROOM11F0.z2,XXX..|...X.|....X|....X|XXXXX
2,MAP03.PIX,0,180,69,32,96,0,32,TUER,5x5 Standard,8,78,5,5,11,188,147,8,110,W,senkrecht,4,ROOM1070.z1,XXXXX|....X|....X|...X.|XXX..
2,MAP03.PIX,1,109,77,56,56,32,32,TUER,5x5 Standard,49,3,5,5,11,158,80,81,35,E,senkrecht,4,ROOM1090.z0,XXXXX|X....|X....|.X...|..XXX
2,MAP03.PIX,2,102,77,24,80,88,48,TUER,4x5 (Tiefe 4),3,5,4,5,9,105,82,91,53,E,senkrecht,4,ROOM1070.z2,XXXX|X...|X...|.X..|..XX
2,MAP03.PIX,2,102,77,24,80,88,48,TUER,5x5 Standard,11,51,5,5,11,113,128,99,99,E,senkrecht,4,ROOM1070.z2,..XXX|.X...|X....|X....|XXXXX
2,MAP03.PIX,4,119,125,72,64,184,56,TUER,5x5 Standard,21,3,5,5,11,140,128,205,59,E,senkrecht,4,ROOM10B0.z0,XXXXX|X....|X....|.X...|..XXX
2,MAP03.PIX,5,180,59,48,32,112,64,TUER2,5x9 doppelt,7,5,9,5,19,187,64,119,69,S,waagerecht,4,ROOM1020.z2,XXX...XXX|X..X.X..X|X...X...X|X...X...X|X...X...X
2,MAP03.PIX,6,180,88,24,24,128,16,TUER,5x5 Standard,12,2,5,5,11,192,90,140,18,E,senkrecht,4,ROOM1070.z0,XXXXX|X....|X....|.X...|..XXX
2,MAP03.PIX,7,164,93,16,24,152,16,TUER,5x5 Standard,1,9,5,5,11,165,102,153,25,W,senkrecht,4,ROOM1000.z0;ROOM1000.z1,XXX..|...X.|....X|....X|XXXXX
2,MAP03.PIX,10,119,134,24,24,168,16,TUER,5x5 Standard,1,15,5,5,11,120,149,169,31,W,senkrecht,4,ROOM1020.z1,XXX..|...X.|....X|....X|XXXXX
3,MAP04.PIX,0,180,69,32,96,0,32,TUER,5x5 Standard,16,3,5,5,11,196,72,16,35,E,senkrecht,4,,XXXXX|X....|X....|.X...|..XXX
3,MAP04.PIX,3,145,109,56,40,192,16,TUER,5x5 Standard,27,34,5,5,11,172,143,219,50,E,senkrecht,4,ROOM10D0.z1,XXXXX|X....|X....|.X...|..XXX
3,MAP04.PIX,4,119,125,72,64,184,56,TUER2,5x9 doppelt,11,48,9,5,19,130,173,195,104,S,waagerecht,4,ROOM10E0.z0,XXX...XXX|X..X.X..X|X...X...X|X...X...X|X...X...X
3,MAP04.PIX,7,164,93,16,24,152,16,TUER,5x5 Standard,4,5,5,5,11,168,98,156,21,E,senkrecht,4,,XXXXX|X....|X....|.X...|..XXX
4,MAP05.PIX,1,136,137,24,24,168,16,TUER,5x5 Standard,1,15,5,5,11,137,152,169,31,W,senkrecht,4,ROOM1160.z0,XXX..|...X.|....X|....X|XXXXX
4,MAP05.PIX,3,152,89,48,24,192,16,TUER,5x5 Standard,11,1,5,5,11,163,90,203,17,N,waagerecht,4,ROOM1140.z1,X...X|X...X|X...X|.X..X|..XXX
4,MAP05.PIX,3,152,89,48,24,192,16,TUER,5x5 Standard,10,16,5,5,11,162,105,202,32,S,waagerecht,4,ROOM1140.z1,XXX..|X..X.|X...X|X...X|X...X
4,MAP05.PIX,4,144,80,32,80,0,32,TUER,5x5 Standard,1,2,5,5,11,145,82,1,34,W,senkrecht,4,ROOM1130.z0,XXXXX|....X|....X|...X.|XXX..
4,MAP05.PIX,5,120,119,40,40,128,16,TUER,5x5 Standard,28,5,5,5,11,148,124,156,21,E,senkrecht,4,ROOM1120.z0,XXXXX|X....|X....|.X...|..XXX
4,MAP05.PIX,6,160,110,56,56,32,32,TUER2,5x9 doppelt,1,37,5,9,19,161,147,33,69,W,senkrecht,4,ROOM1140.z0,XXXXX|....X|....X|...X.|XXX..|...X.|....X|....X|XXXXX
6,MAP07.PIX,0,90,100,80,88,80,48,TREPPE,Stufenband 7x5,6,1,7,5,15,96,101,86,49,W,senkrecht,4,ROOM2040.z1,..X..X.|..X..X.|..X..X.|..X..X.|XXXXXXX
6,MAP07.PIX,0,90,100,80,88,80,48,TUER2,4x10 doppelt,13,36,4,10,18,103,136,93,84,E,senkrecht,4,ROOM2040.z1,XXXX|X...|X...|.X..|..XX|..XX|.X..|X...|X...|XXXX
6,MAP07.PIX,0,90,100,80,88,80,48,TREPPE,Stufenband 8x5,65,69,8,5,16,155,169,145,117,E,senkrecht,4,ROOM2040.z1,..X..X..|..X..X..|..X..X..|..X..X..|XXXXXXXX
6,MAP07.PIX,0,90,100,80,88,80,48,TREPPE,Stufenband 8x4,1,81,8,4,14,91,181,81,129,W,senkrecht,4,ROOM2040.z1,XXXXXXXX|..X..X..|..X..X..|..X..X..
6,MAP07.PIX,1,65,124,32,40,48,32,TUER,4x4 klein,21,5,4,4,8,86,129,69,37,E,senkrecht,4,ROOM2050.z1,XXXX|X...|.X..|..XX
6,MAP07.PIX,2,90,58,48,48,0,128,TUER,4x4 klein,33,38,4,4,8,123,96,33,166,S,waagerecht,4,ROOM2050.z0,..XX|.X.X|X..X|X..X
6,MAP07.PIX,3,107,136,64,16,160,120,TUER2,5x8 doppelt duenn,52,1,5,8,12,159,137,212,121,NSE,NSE,4,ROOM2070.z2,X....|X....|.X...|..XXX|..XXX|.X...|X....|X....
6,MAP07.PIX,6,164,117,40,56,0,72,TUER,4x4 klein,16,1,4,4,8,180,118,16,73,N,waagerecht,4,ROOM2090.z0,X..X|X..X|X.X.|XX..
6,MAP07.PIX,6,164,117,40,56,0,72,TREPPE,Stufenband 8x5 halb,26,29,8,5,17,190,146,26,101,E,senkrecht,4,ROOM2090.z0,XXXXXXXX|..X..X..|..X..X..|..X..X..|XXX.....
6,MAP07.PIX,7,198,93,32,40,0,32,TUER,4x4 klein,1,31,4,4,8,199,124,1,63,W,senkrecht,4,ROOM2060.z0,XX..|..X.|...X|XXXX
6,MAP07.PIX,9,240,130,40,56,40,72,TREPPE,Stufenband 8x5,1,44,8,5,16,241,174,41,116,W,senkrecht,4,ROOM2080.z1,XXXXXXXX|..X..X..|..X..X..|..X..X..|..X..X..
7,MAP08.PIX,1,121,104,48,96,0,32,TUER,5x5 Standard,8,8,5,5,11,129,112,8,40,W,senkrecht,4,,XXXXX|....X|....X|...X.|XXX..
7,MAP08.PIX,1,121,104,48,96,0,32,TUER,5x5 Standard,1,82,5,5,11,122,186,1,114,W,senkrecht,4,,XXXXX|....X|....X|...X.|XXX..
7,MAP08.PIX,2,167,160,56,40,128,16,TUER,5x5 Standard,29,1,5,5,11,196,161,157,17,N,waagerecht,4,ROOM3000.z0,X...X|X...X|X...X|.X..X|..XXX
7,MAP08.PIX,2,167,160,56,40,128,16,TUER,5x5 Standard,1,12,5,5,11,168,172,129,28,W,senkrecht,4,ROOM3000.z0,XXXXX|....X|....X|...X.|XXX..
7,MAP08.PIX,3,204,104,8,32,240,16,TUER,4x4 gestutzt,2,1,4,4,9,206,105,242,17,N,waagerecht,4,ROOM30A0.z0,X..X|X..X|X..X|.XXX
7,MAP08.PIX,3,204,104,8,32,240,16,TUER,4x4 gestutzt,2,20,4,4,9,206,124,242,36,S,waagerecht,4,ROOM30A0.z0,XXX.|X..X|X..X|X..X
7,MAP08.PIX,4,191,44,64,64,192,96,TUER,5x5 Standard,1,8,5,5,11,192,52,193,104,W,senkrecht,4,ROOM3050.z0,XXXXX|....X|....X|...X.|XXX..
7,MAP08.PIX,5,134,44,64,64,128,96,TUER,5x5 Standard,51,52,5,5,11,185,96,179,148,E,senkrecht,4,ROOM3070.z0,..XXX|.X...|X....|X....|XXXXX
7,MAP08.PIX,6,167,104,88,40,112,56,TUER2,5x9 doppelt,49,1,9,5,19,216,105,161,57,N,waagerecht,4,ROOM3060.z0,X...X...X|X...X...X|X...X...X|X..X.X..X|XXX...XXX
7,MAP08.PIX,6,167,104,88,40,112,56,TUER,5x5 Standard,1,9,5,5,11,168,113,113,65,W,senkrecht,4,ROOM3060.z0,XXXXX|....X|....X|...X.|XXX..
7,MAP08.PIX,6,167,104,88,40,112,56,TUER,4x4 gestutzt,51,20,4,4,9,218,124,163,76,S,waagerecht,4,ROOM3060.z0,XXX.|X..X|X..X|X..X
7,MAP08.PIX,7,73,136,48,64,0,128,TUER,5x5 Standard,29,39,5,5,11,102,175,29,167,S,waagerecht,4,,XXX..|X..X.|X...X|X...X|X...X
7,MAP08.PIX,8,65,160,8,16,88,32,TREPPE,Sprossen 4x5,2,2,4,5,14,67,162,90,34,-,-,4,ROOM30B0.z0,XXXX|X...|XXXX|X...|XXXX
7,MAP08.PIX,9,215,128,40,72,48,32,TUER,4x5 (Tiefe 4),1,2,4,5,9,216,130,49,34,W,senkrecht,4,ROOM30D0.z0,XXXX|...X|...X|..X.|XX..
7,MAP08.PIX,9,215,128,40,72,48,32,TUER,5x5 Standard,25,28,5,5,11,240,156,73,60,N,waagerecht,4,ROOM30D0.z0,X...X|X...X|X...X|.X..X|..XXX
7,MAP08.PIX,9,215,128,40,72,48,32,TUER,3x4 kleinste,2,61,3,4,7,217,189,50,93,E,senkrecht,4,ROOM30D0.z0,.XX|X..|X..|XXX
8,MAP09.PIX,0,138,60,48,32,40,32,TUER,4x4 klein,19,2,4,4,8,157,62,59,34,W,senkrecht,4,ROOM4020.z0,XXXX|...X|..X.|XX..
8,MAP09.PIX,4,102,100,48,80,176,16,TUER,4x4 klein,37,61,4,4,8,139,161,213,77,E,senkrecht,4,,XXXX|X...|.X..|..XX
8,MAP09.PIX,5,86,100,24,24,0,56,TUER,4x4 klein,12,2,4,4,8,98,102,12,58,E,senkrecht,4,ROOM4090.z1,..XX|.X..|X...|XXXX
8,MAP09.PIX,6,110,100,24,24,24,64,TUER,4x4 klein,1,17,4,4,8,111,117,25,81,W,senkrecht,4,ROOM4010.z0,XX..|..X.|...X|XXXX
8,MAP09.PIX,7,142,159,24,24,16,32,TREPPENHAUS,15x15 Schacht,1,1,15,15,87,143,160,17,33,NSWE,NSWE,4,ROOM4070.z0,....X.X.X.X....|....X.X.X.X....|....X.X.X.X....|....X.X.X.X....|XXXXXXXXXXXXXXX|....X.....X....|XXXXX.....XXXXX|....X.....X....|XXXXX.....XXXXX|....X.....X....|XXXXXXX.XXXXXXX|....X.X.X.X....|....X.X.X.X....|....X.X.X.X....|....X.X.X.X....
8,MAP09.PIX,9,196,108,24,32,0,88,TUER2,4x7 doppelt klein,9,17,4,7,14,205,125,9,105,E,senkrecht,4,,XXXX|X...|.X..|..XX|.X..|X...|XXXX
8,MAP09.PIX,10,204,147,40,40,72,64,TUER,5x4 an Schraegwand,2,3,5,4,9,206,150,74,67,-,-,4,ROOM40B0.z0,..XX.|...X.|X...X|.XXXX
8,MAP09.PIX,11,165,159,32,32,24,88,TUER2,4x7 doppelt klein,8,1,4,7,14,173,160,32,89,E,senkrecht,4,ROOM40A0.z0,XXXX|X...|.X..|..XX|.X..|X...|XXXX
9,MAP0A.PIX,0,130,70,40,40,40,72,TUER2,9x4 doppelt gestutzt,19,1,9,4,16,149,71,59,73,N,waagerecht,4,ROOM5040.z0,X...X...X|X...X...X|X..X.X..X|XXX...XXX
9,MAP0A.PIX,0,130,70,40,40,40,72,TUER,5x5 Standard,33,15,5,5,11,163,85,73,87,E,senkrecht,4,ROOM5040.z0,..XXX|.X...|X....|X....|XXXXX
9,MAP0A.PIX,4,82,96,56,56,88,72,TUER2,5x9 doppelt,7,37,5,9,19,89,133,95,109,E,senkrecht,4,ROOM5130.z0,XXXXX|X....|X....|.X...|..XXX|.X...|X....|X....|XXXXX
9,MAP0A.PIX,7,173,86,56,80,200,16,TUER,5x5 Standard,48,3,5,5,11,221,89,248,19,E,senkrecht,4,ROOM5070.z0,XXXXX|X....|X....|.X...|..XXX
9,MAP0A.PIX,7,173,86,56,80,200,16,TUER,5x5 Standard,48,67,5,5,11,221,153,248,83,E,senkrecht,4,ROOM5070.z0,..XXX|.X...|X....|X....|XXXXX
9,MAP0A.PIX,8,226,142,32,32,224,96,ARTEFAKT,Schraegwand-Rest,1,9,1,1,1,227,151,225,105,NW,NW,4,,X
9,MAP0A.PIX,8,226,142,32,32,224,96,ARTEFAKT,Schraegwand-Rest,1,16,1,2,2,227,158,225,112,S,waagerecht,4,,X|X
9,MAP0A.PIX,9,226,78,32,32,224,96,ARTEFAKT,Schraegwand-Rest,1,9,1,1,1,227,87,225,105,NW,NW,4,ROOM5110.z1,X
9,MAP0A.PIX,9,226,78,32,32,224,96,ARTEFAKT,Schraegwand-Rest,1,16,1,2,2,227,94,225,112,S,waagerecht,4,ROOM5110.z1,X|X
9,MAP0A.PIX,10,131,135,48,64,0,96,TUER,4x5 (Tiefe 4),2,40,4,5,9,133,175,2,136,E,senkrecht,4,ROOM5090.z0,XXXX|X...|X...|.X..|..XX
9,MAP0A.PIX,12,172,168,32,16,48,112,TUER2,5x9 doppelt,19,1,9,5,19,191,169,67,113,N,waagerecht,4,ROOM5020.z0,X...X...X|X...X...X|X...X...X|X..X.X..X|XXX...XXX
9,MAP0A.PIX,14,138,174,24,24,16,32,TREPPENHAUS,15x15 Schacht,1,1,15,15,87,139,175,17,33,NSWE,NSWE,4,ROOM5010.z0,....X.X.X.X....|....X.X.X.X....|....X.X.X.X....|....X.X.X.X....|XXXXXXXXXXXXXXX|....X.....X....|XXXXX.....XXXXX|....X.....X....|XXXXX.....XXXXX|....X.....X....|XXXXXXX.XXXXXXX|....X.X.X.X....|....X.X.X.X....|....X.X.X.X....|....X.X.X.X....
10,MAP0B.PIX,1,120,114,48,56,40,32,TUER2,4x7 doppelt klein,1,1,7,4,14,121,115,41,33,N,waagerecht,4,ROOM50E0.z0,X..X..X|X..X..X|X.X.X.X|XX...XX
11,MAP0C.PIX,0,150,129,48,56,200,16,TUER,4x4 klein,4,26,4,4,8,154,155,204,42,E,senkrecht,4,,XXXX|X...|.X..|..XX
11,MAP0C.PIX,1,120,94,48,56,40,32,TUER2,4x7 doppelt klein,38,36,4,7,14,158,130,78,68,E,senkrecht,4,ROOM5100.z0,XXXX|X...|.X..|..XX|.X..|X...|XXXX
11,MAP0C.PIX,3,158,153,24,24,16,32,TREPPENHAUS,15x15 Schacht,1,1,15,15,87,159,154,17,33,NSWE,NSWE,4,,....X.X.X.X....|....X.X.X.X....|....X.X.X.X....|....X.X.X.X....|XXXXXXXXXXXXXXX|....X.....X....|XXXXX.....XXXXX|....X.....X....|XXXXX.....XXXXX|....X.....X....|XXXXXXX.XXXXXXX|....X.X.X.X....|....X.X.X.X....|....X.X.X.X....|....X.X.X.X....
12,MAP0D.PIX,0,140,84,56,72,192,16,TUER,4x4 klein,49,17,4,4,8,189,101,241,33,E,senkrecht,4,ROOM6020.z1,..XX|.X..|X...|XXXX
12,MAP0D.PIX,0,140,84,56,72,192,16,TUER,4x4 klein,49,47,4,4,8,189,131,241,63,E,senkrecht,4,ROOM6020.z1,..XX|.X..|X...|XXXX
12,MAP0D.PIX,1,39,109,64,24,128,64,SONST,Trennlinie 1x12,52,3,1,12,12,91,112,180,67,NS,NS,4,ROOM6030.z0,X|X|X|X|X|X|X|X|X|X|X|X
12,MAP0D.PIX,2,96,109,64,24,128,64,SONST,Trennlinie 1x12,52,3,1,12,12,148,112,180,67,NS,NS,4,,X|X|X|X|X|X|X|X|X|X|X|X
12,MAP0D.PIX,3,153,109,64,24,128,64,SONST,Trennlinie 1x12,52,3,1,12,12,205,112,180,67,NS,NS,4,,X|X|X|X|X|X|X|X|X|X|X|X
12,MAP0D.PIX,5,194,60,80,80,0,32,SONST,Sprossenband 2x22,77,47,2,22,28,271,107,77,79,E,senkrecht,4,ROOM6010.z0,XX|XX|X.|X.|X.|X.|X.|X.|X.|X.|XX|XX|X.|X.|X.|X.|X.|X.|X.|X.|XX|XX
12,MAP0D.PIX,6,94,126,48,48,128,16,TUER,4x4 klein,41,4,4,4,8,135,130,169,20,E,senkrecht,4,ROOM6020.z0,..XX|.X..|X...|XXXX
