room,slot,rdt_off,sce,dest,partner,rect_x,rect_z,rect_w,rect_d,welt_x,welt_z,ausgang_ncdir,ausgang_next,ankunft_ncdir,ankunft_spawn,achse_a_rect,achse_b_sca,achse_c_yaw,achse,sca_wand_richtung,sca_wand_abstand,yaw_abw,auswaerts_karte,auswaerts_quelle,seite,rect,karte_heute_x,karte_heute_y,kind_heute,kind_soll,karte_neu_x,karte_neu_y,karte_snap_x,karte_snap_y,snap_px,lage
1050,1,0x0afa,2,1000,1000#2,13200,8200,1000,2000,13700,9200,2048,"650,3250",0,"14700,9150",Z,Z,Z,Z,-X,1000,0,"-1,0",yaw,,,,,,2,,,,,,
1050,2,0x0b1a,2,1000,1000#1,13200,5100,1000,2000,13700,6100,2048,"650,50",0,"14700,6100",Z,Z,Z,Z,-X,1000,0,"-1,0",yaw,,,,,,2,,,,,,
1050,3,0x0b3a,2,1000,1000#0,13200,-14450,1000,2000,13700,-13450,2048,"21850,-13400",0,"14700,-13500",Z,Z,Z,Z,-X,1000,0,"-1,0",yaw,,,,,,2,,,,,,
1050,4,0x0b5a,2,10A0,10A0#0,16700,-14700,1000,2000,17200,-13700,2048,"26200,24800",2048,"16100,-13700",Z,Z,Z,Z,+X,1100,0,"1,0",yaw,,,,,,2,,,,,,
1050,5,0x0b7a,2,1090,1090#0,18100,-23900,3500,1000,19850,-23400,3072,"-10100,4200",3072,"19850,-22300",X,X,X,X,-Z,1100,0,"0,1",yaw,,,,,,0,,,,,,
1060,0,0x0d12,2,1120,1120#0,26600,24300,1000,2200,27100,25400,0,"150,9550",2048,"26000,25300",Z,Z,Z,Z,+X,900,0,"1,0",yaw,2,9,122,138,2,2,118,136,118,136,0,Wandlinie
1060,1,0x0d32,2,10C0,10C0#0,26600,24300,1000,2200,27100,25400,0,"300,9550",2048,"26000,25300",Z,Z,Z,Z,+X,900,0,"1,0",yaw,2,9,122,138,2,2,118,136,118,136,0,Wandlinie
1060,2,0x0d52,2,1040,1040#2,26600,24300,1000,2200,27100,25400,2112,"-21008,-13134",2048,"26000,25300",Z,Z,Z,Z,+X,900,0,"1,0",yaw,2,9,122,138,2,2,118,136,118,136,0,Wandlinie
1070,0,0x145e,2,1030,1030#1,-140,5100,1400,2200,560,6200,2048,"-18000,-3500",0,"160,6145",Z,Z,Z,Z,+X,50,0,"-1,0",yaw,2,0,180,136,2,2,180,130,180,130,,ausserhalb
1080,0,0x0482,2,1040,,0,0,0,0,0,0,1024,"-21936,-11000",,,,,,,,,,,,,,,,,,,,,,,
1080,1,0x04a2,2,10C0,,0,0,0,0,0,0,3072,"1450,7300",,,,,,,,,,,,,,,,,,,,,,,
1080,2,0x04c2,2,1120,,0,0,0,0,0,0,3072,"1300,7300",,,,,,,,,,,,,,,,,,,,,,,
1090,0,0x211a,2,1050,1050#5,-12430,2260,4700,1600,-10080,3060,3072,"19850,-22300",3072,"-10100,4200",X,Z,X,X,+X,50,0,"0,1",yaw,2,1,123,93,2,0,123,91,123,91,,Innenflaeche
1090,1,0x213a,2,1100,,-7920,-21440,4200,5500,-5820,-18690,1024,"-20900,-10336",,,Z,X,,X,+Z,100,,"0,-1",sca,2,1,132,132,0,0,132,125,132,125,0,Wandlinie
10A0,0,0x0db2,2,1050,1050#4,26700,23900,700,2000,27050,24900,2048,"16100,-13700",2048,"26200,24800",Z,X,Z,Z,-Z,450,0,"1,0",yaw,2,9,122,138,2,2,116,137,118,137,2,Wandlinie
10A0,1,0x0dda,2,1180,1180#1,20250,26000,2000,700,21250,26350,3072,"-358,-6536",1024,"21200,25500",X,X,X,X,+Z,800,0,"0,-1",yaw,2,9,113,136,0,0,110,136,110,134,2,Wandlinie
10A0,1,0x0dfe,2,1230,1230#1,20250,26000,2000,700,21250,26350,3072,"-358,-6536",1024,"21200,25500",X,X,X,X,+Z,800,0,"0,-1",yaw,2,9,113,136,0,0,110,136,110,134,2,Wandlinie
10A0,2,0x0e20,2,11E0,11E0#2,20250,26000,2000,700,21250,26350,3072,"5112,-5348",1024,"21200,25500",X,X,X,X,+Z,800,0,"0,-1",yaw,2,9,113,136,0,0,110,136,110,134,2,Wandlinie
10B0,0,0x16d2,2,1170,1170#1,12670,-8540,3330,3400,14335,-6840,3072,"4014,-7436",544,"16490,-8110",Z,Z,,Z,-X,750,480,"-1,0",sca,2,4,182,158,2,2,178,154,178,154,,Innenflaeche
10B0,1,0x16f2,2,1260,1260#2,-22120,3560,1500,2100,-21370,4610,1024,"-20250,-6700",1024,"-21159,3289",Z,X,X,X,+Z,500,0,"0,-1",yaw,2,4,124,134,2,0,124,133,124,134,-1,Wandlinie
10C0,0,0x0e42,2,1060,1060#1,-1100,8550,1000,2000,-600,9550,2048,"26000,25300",0,"300,9550",Z,Z,Z,Z,-X,900,0,"-1,0",yaw,3,8,175,80,0,2,173,80,173,80,0,Wandlinie
10C0,1,0x0e82,2,1080,1080#1,500,5900,2000,1000,1500,6400,1024,"-13650,-900",3072,"1450,7300",X,X,X,X,-Z,900,0,"0,1",yaw,3,8,178,84,0,0,175,82,175,80,-2,Wandlinie
10C0,2,0x0ea4,2,10D0,10D0#15,-8100,-4250,1000,4000,-7600,-2250,2048,"7650,11400",0,"-6700,-2100",Z,Z,Z,Z,-X,900,0,"-1,0",yaw,3,8,166,94,2,2,166,89,164,89,2,Wandlinie
10D0,2,0x1052,0,10F0,10F0#0,300,-8050,1000,2000,800,-7050,2048,"8400,-350",0,"1700,-7000",Z,Z,Z,Z,-X,900,0,"-1,0",yaw,,,,,,2,,,,,,
10D0,0,0x1174,2,10F0,10F0#0,300,-8050,1000,2000,800,-7050,2048,"8400,-350",0,"1700,-7000",Z,Z,Z,Z,-X,900,0,"-1,0",yaw,,,,,,2,,,,,,
10D0,14,0x1196,2,10E0,10E0#0,4950,3850,3600,1000,6750,4350,1024,"-8050,3200",3072,"6800,5350",X,X,X,X,-Z,1050,0,"0,1",yaw,,,,,,0,,,,,,
10D0,15,0x11b6,2,10C0,10C0#2,8150,9400,1000,4000,8650,11400,0,"-6700,-2100",2048,"7650,11400",Z,Z,Z,Z,+X,1000,0,"1,0",yaw,,,,,,2,,,,,,
10D0,16,0x11d6,2,1100,1100#0,-19800,22000,1000,4000,-19300,24000,0,"-20975,-25000",0,"-18400,24150",Z,Z,Z,Z,-X,950,0,"-1,0",yaw,,,,,,2,,,,,,
10E0,0,0x0c2e,2,10D0,10D0#14,-9850,3800,3600,1000,-8050,4300,3072,"6800,5350",1024,"-8050,3200",X,X,X,X,+Z,1000,0,"0,-1",yaw,3,4,131,146,2,0,131,148,131,147,1,Wandlinie
10F0,0,0x0f32,2,10D0,10D0#2,8800,-1300,1000,2000,9300,-300,0,"1700,-7000",2048,"8400,-350",Z,Z,Z,Z,+X,900,0,"1,0",yaw,3,1,159,120,2,2,164,115,164,115,,Innenflaeche
10F0,1,0x0f52,2,1090,,-5350,-2250,1200,1000,-4750,-1750,3072,"-13600,1300",,,X,X,,X,-Z,50,,"0,1",sca,3,1,122,123,0,0,153,116,153,117,1,Wandlinie
1100,0,0x099a,2,10D0,10D0#16,-21730,-26040,800,2500,-21330,-24790,0,"-18400,24150",0,"-20975,-25000",Z,Z,Z,Z,-X,200,0,"-1,0",yaw,3,6,190,107,0,2,190,106,190,106,0,Wandlinie
1100,1,0x09ba,2,1110,1110#0,-27330,-11736,900,1600,-26880,-10936,0,"-2400,-5000",0,"-26130,-11036",Z,Z,Z,Z,-X,600,0,"-1,0",yaw,3,6,182,91,2,2,183,92,180,92,3,Wandlinie
1110,0,0x0a4e,2,1100,1100#1,-3750,-5950,1000,2000,-3250,-4950,0,"-26130,-11036",0,"-2400,-5000",Z,Z,Z,Z,-X,850,0,"-1,0",yaw,,,,,,2,,,,,,
1110,1,0x0a6e,2,1110,1110#2,-3400,-1600,600,2000,-3100,-600,2048,"-4550,-650",0,"-2500,-650",Z,Z,Z,Z,-X,750,0,"-1,0",yaw,,,,,,2,,,,,,
1110,2,0x0a8e,2,1110,1110#1,-4100,-1600,600,2000,-3800,-600,0,"-2500,-650",2048,"-4550,-650",Z,Z,Z,Z,+X,800,0,"1,0",yaw,,,,,,2,,,,,,
1110,3,0x0aae,2,1110,1110#4,-3400,3400,600,2000,-3100,4400,2048,"-4550,4350",0,"-2500,4350",Z,Z,Z,Z,-X,750,0,"-1,0",yaw,,,,,,2,,,,,,
1110,4,0x0ace,2,1110,1110#3,-4100,3400,600,2000,-3800,4400,0,"-2500,4350",2048,"-4550,4350",Z,Z,Z,Z,+X,800,0,"1,0",yaw,,,,,,2,,,,,,
1120,0,0x0c76,2,1060,1060#0,-1200,8550,1000,2000,-700,9550,2048,"26000,25300",0,"150,9550",Z,Z,Z,Z,-X,850,0,"-1,0",yaw,4,5,140,125,0,2,137,126,137,126,,Innenflaeche
1120,1,0x0cb6,2,1080,1080#2,300,5900,2000,1000,1300,6400,1024,"-13650,-900",3072,"1300,7300",X,X,X,X,-Z,900,0,"0,1",yaw,4,5,144,131,0,0,140,132,140,137,5,Wandlinie
1120,2,0x0cd8,2,1130,1130#1,-8950,-3900,1000,2000,-8450,-2900,0,"-2200,-2150",0,"-7600,-2900",Z,Z,Z,Z,-X,900,0,"-1,0",yaw,4,5,124,149,2,2,124,149,120,149,4,Wandlinie
1130,0,0x088e,2,1140,1140#0,-800,-15900,1000,4000,-300,-13900,0,"-7600,-17600",2048,"-1300,-13950",Z,Z,Z,Z,+X,1000,0,"1,0",yaw,4,4,162,150,0,2,158,148,160,148,2,Wandlinie
1130,1,0x08ae,2,1120,1120#2,-3550,-3150,1000,2000,-3050,-2150,0,"-7600,-2900",0,"-2200,-2150",Z,Z,Z,Z,-X,850,0,"-1,0",yaw,4,4,156,125,2,2,154,123,152,123,2,Wandlinie
1130,2,0x08ce,2,1150,1150#0,-7150,15350,1000,2000,-6650,16350,1600,"-17150,-11960",0,"-5900,16350",Z,Z,Z,Z,-X,750,0,"-1,0",yaw,4,4,148,87,2,2,147,83,144,83,3,Wandlinie
1130,3,0x08ee,2,1170,1170#4,1700,14150,2000,1000,2700,14650,1024,"-21225,-18870",3072,"2650,15550",X,X,X,X,-Z,850,0,"0,1",yaw,4,4,168,90,2,0,163,87,163,89,2,Wandlinie
1140,0,0x0a52,2,1130,1130#0,-9100,-19750,1000,4000,-8600,-17750,2048,"-1300,-13950",0,"-7600,-17600",Z,Z,Z,Z,-X,1000,0,"-1,0",yaw,4,6,164,149,2,2,160,152,160,152,0,Wandlinie
1140,1,0x0a7a,0,1170,1170#5,-8250,-750,2000,1000,-7250,-250,3072,"-21937,-25713",1024,"-7250,-1200",X,X,X,X,+Z,950,0,"0,-1",yaw,4,6,166,114,0,0,163,114,163,110,4,Wandlinie
1140,1,0x0ab2,2,1170,1170#5,-8250,-750,2000,1000,-7250,-250,3072,"-21937,-25713",1024,"-7250,-1200",X,X,X,X,+Z,950,0,"0,-1",yaw,4,6,166,114,0,0,163,114,163,110,4,Wandlinie
1150,0,0x0d5e,2,1130,1130#2,-16800,-12600,1500,2200,-16050,-11500,0,"-5900,16350",1600,"-17150,-11960",Z,Z,,Z,+X,600,448,"1,0",sca,4,2,148,84,2,2,142,84,145,84,3,Wandlinie
1160,0,0x07c6,2,1180,1180#0,-1300,-17000,2000,1000,-300,-16500,3072,"-4729,-16018",1024,"-300,-17400",X,X,X,X,+Z,900,0,"0,-1",yaw,4,1,148,147,0,0,145,146,145,146,,Innenflaeche
1160,0,0x07ea,2,1230,1230#0,-1300,-17000,2000,1000,-300,-16500,3072,"-4729,-16018",1024,"-300,-17400",X,X,X,X,+Z,900,0,"0,-1",yaw,4,1,148,147,0,0,145,146,145,146,,Innenflaeche
1170,0,0x1206,2,1170,1170#3,1500,14400,2100,1700,2550,15250,2957,"-11710,-26500",1024,"2300,14365",X,Z,X,X,+X,50,0,"0,-1",yaw,5,1,174,105,0,0,173,101,173,101,0,Wandlinie
1170,1,0x1226,0,10B0,10B0#0,5040,-9400,1240,2920,5660,-7940,544,"16490,-8110",3072,"4014,-7436",Z,Z,X,X,+X,50,0,"0,1",yaw,5,1,179,151,0,0,178,149,178,155,6,Wandlinie
1170,2,0x129c,2,1240,,0,0,0,0,0,0,0,"-26214,-3861",,,,Z,,Z,+X,50,,"1,0",sca,5,1,170,135,0,2,169,132,169,132,,Innenflaeche
1170,3,0x12cc,2,1170,,0,0,0,0,0,0,1024,"2300,14365",,,,Z,,Z,+X,50,,"1,0",sca,5,1,170,135,0,2,169,132,169,132,,Innenflaeche
1170,4,0x12f8,2,1130,1130#3,-22370,-18380,2280,910,-21230,-17925,3072,"2650,15550",1024,"-21225,-18870",X,X,X,X,+Z,600,0,"0,-1",yaw,5,0,158,81,0,0,156,81,156,80,1,Wandlinie
1170,5,0x1338,2,1140,1140#1,-22740,-27610,2280,1210,-21600,-27005,1024,"-7250,-1200",3072,"-21937,-25713",X,Z,X,X,+X,50,0,"0,1",yaw,5,0,157,100,0,0,155,98,155,101,3,Wandlinie
1170,6,0x135a,2,1170,1170#0,-11940,-28450,1750,1200,-11065,-27850,1024,"2300,14365",2957,"-11710,-26500",X,X,X,X,-Z,650,115,"0,1",yaw,5,0,182,101,0,0,176,99,176,101,2,Wandlinie
1180,0,0x09ee,2,1160,1160#0,-6041,-17561,2409,1444,-4837,-16839,1024,"-300,-17400",3072,"-4729,-16018",X,X,X,X,-Z,400,0,"0,1",yaw,,,,,,0,,,,,,
1180,0,0x0a12,2,11D0,11D0#0,-6041,-17561,2409,1444,-4837,-16839,1024,"-300,-17400",3072,"-4729,-16018",X,X,X,X,-Z,400,0,"0,1",yaw,,,,,,0,,,,,,
1180,1,0x0a34,2,10A0,10A0#1,-1381,-8494,2409,1444,-177,-7772,1024,"21200,25500",3072,"-358,-6536",X,X,X,X,-Z,850,0,"0,1",yaw,,,,,,0,,,,,,
1180,2,0x0a54,2,1190,1190#4,-9266,8888,2297,934,-8118,9355,1024,"3174,-11182",3072,"-8133,10226",X,X,X,X,-Z,750,0,"0,1",yaw,,,,,,0,,,,,,
1180,3,0x0a74,2,11B0,11B0#0,5270,26563,872,4622,5706,28874,0,"-26483,-18094",2048,"4725,28650",Z,Z,Z,Z,+X,800,0,"1,0",yaw,,,,,,2,,,,,,
1180,4,0x0a94,0,1190,1190#6,-1052,11694,2297,934,96,12161,1024,"19515,-12109",3072,"142,13001",X,X,X,X,-Z,700,0,"0,1",yaw,,,,,,0,,,,,,
1190,4,0x28b2,2,1180,1180#2,1900,-10400,2200,1500,3000,-9650,3072,"-8133,10226",1024,"3174,-11182",X,X,X,X,+Z,950,0,"0,-1",yaw,0,1,119,81,0,0,117,80,117,76,4,Wandlinie
1190,4,0x28d6,2,1230,1230#2,1900,-10400,2200,1500,3000,-9650,3072,"-8133,10226",1024,"3174,-11182",X,X,X,X,+Z,950,0,"0,-1",yaw,0,1,119,81,0,0,117,80,117,76,4,Wandlinie
1190,6,0x2b1c,2,1180,1180#4,18200,-12300,2600,1500,19500,-11550,3072,"142,13001",1024,"19515,-12109",X,X,X,X,+Z,700,0,"0,-1",yaw,0,1,143,85,2,0,139,84,139,84,,Innenflaeche
1190,6,0x2b40,2,1230,1230#6,18200,-12300,2600,1500,19500,-11550,3072,"142,13001",1024,"19515,-12109",X,X,X,X,+Z,700,0,"0,-1",yaw,0,1,143,85,2,0,139,84,139,84,,Innenflaeche
1190,15,0x2d70,2,1190,,0,0,0,0,0,0,0,"19100,-21250",,,,,,,-Z,7550,,,,,,,,,,,,,,,
11A0,0,0x0f5a,2,2070,2070#4,5400,-4300,2200,900,6500,-3850,0,"-18650,-19300",3072,"6500,-3200",X,X,X,X,-Z,650,0,"0,1",yaw,0,0,150,127,0,0,146,124,146,124,0,Wandlinie
11A0,1,0x0f7c,2,3000,3000#0,-650,24500,1300,900,0,24950,0,"-23338,-14647",1024,"-50,24200",X,Z,X,X,+X,50,0,"0,-1",yaw,0,0,143,64,0,0,140,64,140,60,4,Wandlinie
11A0,2,0x0f9c,2,11A0,11A0#3,14200,2300,2200,900,15300,2750,1024,"7500,10650",1024,"15300,1850",X,Z,X,X,+X,50,0,"0,-1",yaw,0,0,159,113,2,0,154,110,154,104,6,Wandlinie
11A0,3,0x0fc6,2,11A0,11A0#2,6400,11050,2200,900,7500,11500,1024,"15300,1850",1024,"7500,10650",X,Z,X,X,+X,50,0,"0,-1",yaw,0,0,151,93,2,0,147,92,147,92,,ausserhalb
11A0,4,0x1006,2,20A0,20A0#2,28500,200,1000,2200,29000,1300,1024,"25800,-800",2048,"28150,1250",Z,Z,Z,Z,+X,50,0,"1,0",yaw,0,0,173,116,2,2,166,113,166,113,0,Wandlinie
11B0,0,0x0f64,2,1180,1180#3,-29430,-18940,3200,4100,-27830,-16890,2048,"4725,28650",0,"-26483,-18094",Z,Z,Z,Z,-X,650,0,"-1,0",yaw,0,3,170,83,2,2,168,82,168,82,0,Wandlinie
11B0,0,0x0f88,2,1230,1230#3,-29430,-18940,3200,4100,-27830,-16890,2048,"4725,28650",0,"-26483,-18094",Z,Z,Z,Z,-X,650,0,"-1,0",yaw,0,3,170,83,2,2,168,82,168,82,0,Wandlinie
11B0,1,0x0faa,2,11C0,11C0#0,-26730,-29940,2500,3500,-25480,-28190,4603,"-25279,17268",3067,"-25552,-25331",Z,Z,X,X,+X,1200,5,"0,1",yaw,0,3,175,106,0,0,171,99,171,100,1,Wandlinie
11B0,5,0x1010,0,1260,1260#0,-895,-21121,1667,1667,-62,-20288,2048,"26750,9400",1024,"-195,-21821",,X,X,X,+Z,750,0,"0,-1",yaw,0,3,231,90,2,0,225,87,225,87,,Innenflaeche
11B0,5,0x1034,2,1260,1260#0,-895,-21121,1667,1667,-62,-20288,2048,"26750,9400",1024,"-195,-21821",,X,X,X,+Z,750,0,"0,-1",yaw,0,3,231,90,2,0,225,87,225,87,,Innenflaeche
11C0,0,0x1712,2,11B0,11B0#1,-27100,15900,4000,2700,-25100,17250,3067,"-25552,-25331",4603,"-25279,17268",X,Z,,Z,+X,50,507,"1,0",sca,0,4,177,114,2,2,177,112,177,112,,Innenflaeche
11D0,0,0x11e2,2,1180,1180#0,-1300,-17000,2000,1000,-300,-16500,3072,"-4729,-16018",1024,"-300,-17400",X,X,X,X,+Z,900,0,"0,-1",yaw,0,5,129,147,2,0,127,144,127,144,,Innenflaeche
11D0,0,0x1206,2,1230,1230#0,-1300,-17000,2000,1000,-300,-16500,3072,"-4729,-16018",1024,"-300,-17400",X,X,X,X,+Z,900,0,"0,-1",yaw,0,5,129,147,2,0,127,144,127,144,,Innenflaeche
11D0,1,0x1228,2,1260,1260#3,1700,-22900,1800,1800,2600,-22000,2048,"20900,-8100",0,"3900,-22000",,Z,Z,Z,-X,600,0,"-1,0",yaw,0,5,137,171,0,2,135,164,135,164,,Innenflaeche
11E0,0,0x1512,2,11F0,11F0#0,-27100,-10300,4000,1500,-25100,-9550,1024,"250,250",-4848,"-24707,-9442",X,X,,X,-Z,700,272,"0,1",sca,,,,,,0,,,,,,
11E0,1,0x1532,2,1200,1200#0,1000,-25000,2000,1500,2000,-24250,3040,"-20154,-25245",-2621,"2062,-24428",X,X,,X,+Z,500,451,"0,-1",sca,,,,,,0,,,,,,
11E0,2,0x1552,2,10A0,10A0#2,4200,-6700,1100,2100,4750,-5650,1024,"21200,25500",3072,"5112,-5348",Z,X,X,X,-Z,500,0,"0,1",yaw,,,,,,0,,,,,,
11E0,5,0x15a2,0,1210,1210#0,9700,4500,1500,2000,10450,5500,0,"-26400,-2200",1336,"10564,5755",Z,Z,,Z,+X,500,312,"1,0",sca,,,,,,2,,,,,,
11E0,3,0x16c4,2,1210,1210#0,9700,4500,1500,2000,10450,5500,0,"-26400,-2200",1336,"10564,5755",Z,Z,,Z,+X,500,312,"1,0",sca,,,,,,2,,,,,,
11F0,0,0x0cc6,2,11E0,11E0#0,-1750,650,4000,1000,250,1150,-4848,"-24707,-9442",1024,"250,250",X,X,X,X,+Z,900,0,"0,-1",yaw,1,8,212,111,0,0,212,112,212,112,0,Wandlinie
1200,0,0x07ba,2,11E0,11E0#1,-20890,-27480,1690,770,-20045,-27095,-2621,"2062,-24428",3040,"-20154,-25245",X,Z,X,X,+X,1200,32,"0,1",yaw,1,5,198,117,0,0,197,111,197,112,1,Wandlinie
1210,0,0x1cc6,2,11E0,11E0#5,-28000,-3500,1500,2200,-27250,-2400,1336,"10564,5755",0,"-26400,-2200",Z,Z,Z,Z,-X,500,0,"-1,0",yaw,1,4,188,81,2,2,188,80,187,80,1,Wandlinie
1210,1,0x1ce6,2,1220,1220#0,-22200,-7200,1500,2200,-21450,-6100,2048,"-22400,-6500",0,"-20890,-6560",Z,Z,Z,Z,-X,200,0,"-1,0",yaw,1,4,193,83,0,2,192,82,187,82,5,Wandlinie
1210,2,0x1d06,2,1220,1220#1,-17900,-10900,1500,2200,-17150,-9800,0,"-16600,-9900",2048,"-18100,-9900",Z,Z,Z,Z,+X,450,0,"1,0",yaw,1,4,196,86,2,2,196,84,198,84,2,Wandlinie
1210,3,0x1d26,2,1220,1220#2,-22400,-14700,1500,2200,-21650,-13600,2048,"-22400,-14000",0,"-20800,-13700",Z,Z,Z,Z,-X,300,0,"-1,0",yaw,1,4,193,89,2,2,192,86,187,86,5,Wandlinie
1210,4,0x1d46,2,1220,1220#3,-17900,-18400,1500,2200,-17150,-17300,0,"-16600,-17900",2048,"-18100,-17300",Z,Z,Z,Z,+X,450,0,"1,0",yaw,1,4,196,92,2,2,196,89,201,89,5,Wandlinie
1210,5,0x1d66,2,1220,1220#4,-17900,-26600,1500,2200,-17150,-25500,0,"-16600,-25050",2048,"-18100,-25600",Z,Z,Z,Z,+X,450,0,"1,0",yaw,1,4,196,99,0,2,196,93,201,93,5,Wandlinie
1220,0,0x0dd2,2,1210,1210#1,-22000,-7400,500,2000,-21750,-6400,0,"-20890,-6560",2048,"-22400,-6500",Z,Z,Z,Z,+X,600,0,"1,0",yaw,1,4,192,83,0,2,192,82,196,82,4,Wandlinie
1220,1,0x0df2,2,1210,1210#2,-17300,-10900,500,2000,-17050,-9900,2048,"-18100,-9900",0,"-16600,-9900",Z,Z,Z,Z,-X,500,0,"-1,0",yaw,1,4,197,86,2,2,196,84,198,84,-2,Wandlinie
1220,2,0x0e12,2,1210,1210#3,-22000,-14900,500,2000,-21750,-13900,0,"-20800,-13700",2048,"-22400,-14000",Z,Z,Z,Z,+X,600,0,"1,0",yaw,1,4,192,89,2,2,192,86,187,86,-5,Wandlinie
1220,3,0x0e32,2,1210,1210#4,-17300,-18800,500,2000,-17050,-17800,2048,"-18100,-17300",0,"-16600,-17900",Z,Z,Z,Z,-X,500,0,"-1,0",yaw,1,4,197,92,2,2,196,88,201,88,-5,Wandlinie
1220,4,0x0e52,2,1210,1210#5,-17300,-26000,500,2000,-17050,-25000,2048,"-18100,-25600",0,"-16600,-25050",Z,Z,Z,Z,-X,500,0,"-1,0",yaw,1,4,197,98,0,2,196,93,201,93,-5,Wandlinie
1230,0,0x0aee,2,1160,1160#0,-6041,-17561,2409,1444,-4837,-16839,1024,"-300,-17400",3072,"-4729,-16018",X,X,X,X,-Z,400,0,"0,1",yaw,1,3,231,131,0,0,214,115,214,115,,ausserhalb
1230,0,0x0b12,2,11D0,11D0#0,-6041,-17561,2409,1444,-4837,-16839,1024,"-300,-17400",3072,"-4729,-16018",X,X,X,X,-Z,400,0,"0,1",yaw,1,3,231,131,0,0,214,115,214,115,,ausserhalb
1230,1,0x0b34,2,10A0,10A0#1,-1381,-8494,2409,1444,-177,-7772,1024,"21200,25500",3072,"-358,-6536",X,X,X,X,-Z,850,0,"0,1",yaw,1,3,239,120,2,0,219,107,219,107,,ausserhalb
