doc,slot,page,role,file_off,tim_bytes,bpp,width,height,doc_max_page,doc_page_h,name
5,33,0,page,0x0ef000,22592,4,256,176,9,176,FILE05_p00_page.TIM
5,34,1,page,0x0f5000,22592,4,256,176,9,176,FILE05_p01_page.TIM
5,35,2,page,0x0fb000,22592,4,256,176,9,176,FILE05_p02_page.TIM
5,36,3,page,0x101000,22592,4,256,176,9,176,FILE05_p03_page.TIM
5,37,4,page,0x107000,22592,4,256,176,9,176,FILE05_p04_page.TIM
5,38,5,page,0x10d000,22592,4,256,176,9,176,FILE05_p05_page.TIM
5,39,6,page,0x113000,22592,4,256,176,9,176,FILE05_p06_page.TIM
5,40,7,page,0x119000,22592,4,256,176,9,176,FILE05_p07_page.TIM
5,41,8,page,0x11f000,22592,4,256,176,9,176,FILE05_p08_page.TIM
5,42,9,page,0x125000,22592,4,256,176,9,176,FILE05_p09_page.TIM
6,43,-1,paper,0x12b000,33312,8,128,256,9,176,FILE06_title_paper.TIM
6,43,-1,page,0x133220,22592,4,256,176,9,176,FILE06_title_page.TIM
6,44,0,page,0x139000,22592,4,256,176,9,176,FILE06_p00_page.TIM
6,45,1,page,0x13f000,22592,4,256,176,9,176,FILE06_p01_page.TIM
6,46,2,page,0x145000,22592,4,256,176,9,176,FILE06_p02_page.TIM
6,47,3,page,0x14b000,22592,4,256,176,9,176,FILE06_p03_page.TIM
6,48,4,page,0x151000,22592,4,256,176,9,176,FILE06_p04_page.TIM
6,49,5,page,0x157000,22592,4,256,176,9,176,FILE06_p05_page.TIM
6,50,6,page,0x15d000,22592,4,256,176,9,176,FILE06_p06_page.TIM
6,51,7,page,0x163000,22592,4,256,176,9,176,FILE06_p07_page.TIM
6,52,8,page,0x169000,22592,4,256,176,9,176,FILE06_p08_page.TIM
6,53,9,page,0x16f000,22592,4,256,176,9,176,FILE06_p09_page.TIM
7,54,-1,paper,0x175000,33312,8,128,256,6,144,FILE07_title_paper.TIM
7,54,-1,page,0x17d220,18496,4,256,144,6,144,FILE07_title_page.TIM
7,55,0,page,0x182000,18496,4,256,144,6,144,FILE07_p00_page.TIM
7,56,1,page,0x187000,18496,4,256,144,6,144,FILE07_p01_page.TIM
7,57,2,page,0x18c000,18496,4,256,144,6,144,FILE07_p02_page.TIM
7,58,3,page,0x191000,18496,4,256,144,6,144,FILE07_p03_page.TIM
7,59,4,page,0x196000,18496,4,256,144,6,144,FILE07_p04_page.TIM
7,60,5,page,0x19b000,18496,4,256,144,6,144,FILE07_p05_page.TIM
7,61,6,page,0x1a0000,18496,4,256,144,6,144,FILE07_p06_page.TIM
8,62,-1,paper,0x1a5000,33312,8,128,256,4,144,FILE08_title_paper.TIM
8,62,-1,page,0x1ad220,18496,4,256,144,4,144,FILE08_title_page.TIM
8,63,0,page,0x1b2000,18496,4,256,144,4,144,FILE08_p00_page.TIM
8,64,1,page,0x1b7000,18496,4,256,144,4,144,FILE08_p01_page.TIM
8,65,2,page,0x1bc000,18496,4,256,144,4,144,FILE08_p02_page.TIM
8,66,3,page,0x1c1000,18496,4,256,144,4,144,FILE08_p03_page.TIM
8,67,4,page,0x1c6000,18496,4,256,144,4,144,FILE08_p04_page.TIM
9,68,-1,paper,0x1cb000,33312,8,128,256,4,176,FILE09_title_paper.TIM
9,68,-1,page,0x1d3220,22592,4,256,176,4,176,FILE09_title_page.TIM
9,69,0,page,0x1d9000,22592,4,256,176,4,176,FILE09_p00_page.TIM
9,70,1,page,0x1df000,22592,4,256,176,4,176,FILE09_p01_page.TIM
9,71,2,page,0x1e5000,22592,4,256,176,4,176,FILE09_p02_page.TIM
9,72,3,page,0x1eb000,22592,4,256,176,4,176,FILE09_p03_page.TIM
9,73,4,page,0x1f1000,22592,4,256,176,4,176,FILE09_p04_page.TIM
9,74,5,page,0x1f7000,22592,4,256,176,4,176,FILE09_p05_page.TIM
9,75,6,page,0x1fd000,22592,4,256,176,4,176,FILE09_p06_page.TIM
10,76,-1,paper,0x203000,33312,8,128,256,1,128,FILE10_title_paper.TIM
10,76,-1,page,0x20b220,16448,4,256,128,1,128,FILE10_title_page.TIM
10,77,0,page,0x20f800,16448,4,256,128,1,128,FILE10_p00_page.TIM
10,78,1,page,0x214000,16448,4,256,128,1,128,FILE10_p01_page.TIM
11,79,-1,paper,0x218800,33312,8,128,256,2,112,FILE11_title_paper.TIM
11,79,-1,page,0x220a20,14400,4,256,112,2,112,FILE11_title_page.TIM
11,80,0,page,0x224800,14400,4,256,112,2,112,FILE11_p00_page.TIM
11,81,1,page,0x228800,14400,4,256,112,2,112,FILE11_p01_page.TIM
11,82,2,page,0x22c800,14400,4,256,112,2,112,FILE11_p02_page.TIM
12,83,-1,paper,0x230800,33312,8,128,256,3,112,FILE12_title_paper.TIM
12,83,-1,page,0x238a20,14400,4,256,112,3,112,FILE12_title_page.TIM
12,84,0,page,0x23c800,14400,4,256,112,3,112,FILE12_p00_page.TIM
12,85,1,page,0x240800,14400,4,256,112,3,112,FILE12_p01_page.TIM
12,86,2,page,0x244800,14400,4,256,112,3,112,FILE12_p02_page.TIM
12,87,3,page,0x248800,14400,4,256,112,3,112,FILE12_p03_page.TIM
13,88,-1,paper,0x24c800,33312,8,128,256,2,112,FILE13_title_paper.TIM
13,88,-1,page,0x254a20,14400,4,256,112,2,112,FILE13_title_page.TIM
13,89,0,page,0x258800,14400,4,256,112,2,112,FILE13_p00_page.TIM
13,90,1,page,0x25c800,14400,4,256,112,2,112,FILE13_p01_page.TIM
13,91,2,page,0x260800,14400,4,256,112,2,112,FILE13_p02_page.TIM
14,92,-1,paper,0x264800,33312,8,128,256,3,144,FILE14_title_paper.TIM
14,92,-1,page,0x26ca20,18496,4,256,144,3,144,FILE14_title_page.TIM
14,93,0,page,0x271800,18496,4,256,144,3,144,FILE14_p00_page.TIM
14,94,1,page,0x276800,18496,4,256,144,3,144,FILE14_p01_page.TIM
14,95,2,page,0x27b800,18496,4,256,144,3,144,FILE14_p02_page.TIM
14,96,3,page,0x280800,18496,4,256,144,3,144,FILE14_p03_page.TIM
15,97,-1,paper,0x285800,33312,8,128,256,8,176,FILE15_title_paper.TIM
15,97,-1,page,0x28da20,22592,4,256,176,8,176,FILE15_title_page.TIM
15,98,0,page,0x293800,22592,4,256,176,8,176,FILE15_p00_page.TIM
15,99,1,page,0x299800,22592,4,256,176,8,176,FILE15_p01_page.TIM
15,100,2,page,0x29f800,22592,4,256,176,8,176,FILE15_p02_page.TIM
15,101,3,page,0x2a5800,22592,4,256,176,8,176,FILE15_p03_page.TIM
15,102,4,page,0x2ab800,22592,4,256,176,8,176,FILE15_p04_page.TIM
15,103,5,page,0x2b1800,22592,4,256,176,8,176,FILE15_p05_page.TIM
15,104,6,page,0x2b7800,22592,4,256,176,8,176,FILE15_p06_page.TIM
15,105,7,page,0x2bd800,22592,4,256,176,8,176,FILE15_p07_page.TIM
15,106,8,page,0x2c3800,22592,4,256,176,8,176,FILE15_p08_page.TIM
16,107,-1,paper,0x2c9800,33312,8,128,256,6,176,FILE16_title_paper.TIM
16,107,-1,page,0x2d1a20,22592,4,256,176,6,176,FILE16_title_page.TIM
16,108,0,page,0x2d7800,22592,4,256,176,6,176,FILE16_p00_page.TIM
16,109,1,page,0x2dd800,22592,4,256,176,6,176,FILE16_p01_page.TIM
16,110,2,page,0x2e3800,22592,4,256,176,6,176,FILE16_p02_page.TIM
16,111,3,page,0x2e9800,22592,4,256,176,6,176,FILE16_p03_page.TIM
16,112,4,page,0x2ef800,22592,4,256,176,6,176,FILE16_p04_page.TIM
16,113,5,page,0x2f5800,22592,4,256,176,6,176,FILE16_p05_page.TIM
16,114,6,page,0x2fb800,22592,4,256,176,6,176,FILE16_p06_page.TIM
17,115,-1,paper,0x301800,33312,8,128,256,9,176,FILE17_title_paper.TIM
17,115,-1,page,0x309a20,22592,4,256,176,9,176,FILE17_title_page.TIM
17,116,0,page,0x30f800,22592,4,256,176,9,176,FILE17_p00_page.TIM
17,117,1,page,0x315800,22592,4,256,176,9,176,FILE17_p01_page.TIM
17,118,2,page,0x31b800,22592,4,256,176,9,176,FILE17_p02_page.TIM
17,119,3,page,0x321800,22592,4,256,176,9,176,FILE17_p03_page.TIM
17,120,4,page,0x327800,22592,4,256,176,9,176,FILE17_p04_page.TIM
17,121,5,page,0x32d800,22592,4,256,176,9,176,FILE17_p05_page.TIM
17,122,6,page,0x333800,22592,4,256,176,9,176,FILE17_p06_page.TIM
17,123,7,page,0x339800,22592,4,256,176,9,176,FILE17_p07_page.TIM
17,124,8,page,0x33f800,22592,4,256,176,9,176,FILE17_p08_page.TIM
17,125,9,page,0x345800,22592,4,256,176,9,176,FILE17_p09_page.TIM
18,126,-1,paper,0x34b800,33312,8,128,256,5,176,FILE18_title_paper.TIM
18,126,-1,page,0x353a20,22592,4,256,176,5,176,FILE18_title_page.TIM
18,127,0,page,0x359800,22592,4,256,176,5,176,FILE18_p00_page.TIM
18,128,1,page,0x35f800,22592,4,256,176,5,176,FILE18_p01_page.TIM
18,129,2,page,0x365800,22592,4,256,176,5,176,FILE18_p02_page.TIM
18,130,3,page,0x36b800,22592,4,256,176,5,176,FILE18_p03_page.TIM
18,131,4,page,0x371800,22592,4,256,176,5,176,FILE18_p04_page.TIM
18,132,5,page,0x377800,22592,4,256,176,5,176,FILE18_p05_page.TIM
19,133,-1,paper,0x37d800,33312,8,128,256,1,112,FILE19_title_paper.TIM
19,133,-1,page,0x385a20,14400,4,256,112,1,112,FILE19_title_page.TIM
19,134,0,page,0x389800,14400,4,256,112,1,112,FILE19_p00_page.TIM
19,135,1,page,0x38d800,14400,4,256,112,1,112,FILE19_p01_page.TIM
20,136,-1,paper,0x391800,33312,8,128,256,6,176,FILE20_title_paper.TIM
20,136,-1,page,0x399a20,22592,4,256,176,6,176,FILE20_title_page.TIM
20,137,0,page,0x39f800,22592,4,256,176,6,176,FILE20_p00_page.TIM
20,138,1,page,0x3a5800,22592,4,256,176,6,176,FILE20_p01_page.TIM
20,139,2,page,0x3ab800,22592,4,256,176,6,176,FILE20_p02_page.TIM
20,140,3,page,0x3b1800,22592,4,256,176,6,176,FILE20_p03_page.TIM
20,141,4,page,0x3b7800,22592,4,256,176,6,176,FILE20_p04_page.TIM
20,142,5,page,0x3bd800,22592,4,256,176,6,176,FILE20_p05_page.TIM
20,143,6,page,0x3c3800,22592,4,256,176,6,176,FILE20_p06_page.TIM
21,144,-1,paper,0x3c9800,33312,8,128,256,5,176,FILE21_title_paper.TIM
21,144,-1,page,0x3d1a20,22592,4,256,176,5,176,FILE21_title_page.TIM
21,145,0,page,0x3d7800,22592,4,256,176,5,176,FILE21_p00_page.TIM
21,146,1,page,0x3dd800,22592,4,256,176,5,176,FILE21_p01_page.TIM
21,147,2,page,0x3e3800,22592,4,256,176,5,176,FILE21_p02_page.TIM
21,148,3,page,0x3e9800,22592,4,256,176,5,176,FILE21_p03_page.TIM
21,149,4,page,0x3ef800,22592,4,256,176,5,176,FILE21_p04_page.TIM
21,150,5,page,0x3f5800,22592,4,256,176,5,176,FILE21_p05_page.TIM
22,151,-1,paper,0x3fb800,33312,8,128,256,4,176,FILE22_title_paper.TIM
22,151,-1,page,0x403a20,22592,4,256,176,4,176,FILE22_title_page.TIM
22,152,0,page,0x409800,22592,4,256,176,4,176,FILE22_p00_page.TIM
22,153,1,page,0x40f800,22592,4,256,176,4,176,FILE22_p01_page.TIM
22,154,2,page,0x415800,22592,4,256,176,4,176,FILE22_p02_page.TIM
22,155,3,page,0x41b800,22592,4,256,176,4,176,FILE22_p03_page.TIM
22,156,4,page,0x421800,22592,4,256,176,4,176,FILE22_p04_page.TIM
23,157,-1,paper,0x427800,33312,8,128,256,2,176,FILE23_title_paper.TIM
23,157,-1,page,0x42fa20,22592,4,256,176,2,176,FILE23_title_page.TIM
23,158,0,page,0x435800,22592,4,256,176,2,176,FILE23_p00_page.TIM
23,159,1,page,0x43b800,22592,4,256,176,2,176,FILE23_p01_page.TIM
23,160,2,page,0x441800,22592,4,256,176,2,176,FILE23_p02_page.TIM
23,161,3,page,0x447800,22592,4,256,176,2,176,FILE23_p03_page.TIM
23,162,4,page,0x44d800,22592,4,256,176,2,176,FILE23_p04_page.TIM
23,163,5,page,0x453800,22592,4,256,176,2,176,FILE23_p05_page.TIM
23,164,6,page,0x459800,22592,4,256,176,2,176,FILE23_p06_page.TIM
23,165,7,page,0x45f800,22592,4,256,176,2,176,FILE23_p07_page.TIM
23,166,8,page,0x465800,22592,4,256,176,2,176,FILE23_p08_page.TIM
23,167,9,page,0x46b800,22592,4,256,176,2,176,FILE23_p09_page.TIM
23,168,10,page,0x471800,22592,4,256,176,2,176,FILE23_p10_page.TIM
23,169,11,page,0x477800,22592,4,256,176,2,176,FILE23_p11_page.TIM
23,170,12,page,0x47d800,22592,4,256,176,2,176,FILE23_p12_page.TIM
23,171,13,page,0x483800,22592,4,256,176,2,176,FILE23_p13_page.TIM
23,172,14,page,0x489800,22592,4,256,176,2,176,FILE23_p14_page.TIM
23,173,15,page,0x48f800,22592,4,256,176,2,176,FILE23_p15_page.TIM
24,174,-1,paper,0x495800,33312,8,128,256,2,176,FILE24_title_paper.TIM
24,174,-1,page,0x49da20,22592,4,256,176,2,176,FILE24_title_page.TIM
24,175,0,page,0x4a3800,22592,4,256,176,2,176,FILE24_p00_page.TIM
24,176,1,page,0x4a9800,22592,4,256,176,2,176,FILE24_p01_page.TIM
24,177,2,page,0x4af800,22592,4,256,176,2,176,FILE24_p02_page.TIM
24,178,3,page,0x4b5800,22592,4,256,176,2,176,FILE24_p03_page.TIM
24,179,4,page,0x4bb800,22592,4,256,176,2,176,FILE24_p04_page.TIM
24,180,5,page,0x4c1800,22592,4,256,176,2,176,FILE24_p05_page.TIM
24,181,6,page,0x4c7800,22592,4,256,176,2,176,FILE24_p06_page.TIM
24,182,7,page,0x4cd800,22592,4,256,176,2,176,FILE24_p07_page.TIM
24,183,8,page,0x4d3800,22592,4,256,176,2,176,FILE24_p08_page.TIM
24,184,9,page,0x4d9800,22592,4,256,176,2,176,FILE24_p09_page.TIM
24,185,10,page,0x4df800,22592,4,256,176,2,176,FILE24_p10_page.TIM
24,186,11,page,0x4e5800,22592,4,256,176,2,176,FILE24_p11_page.TIM
24,187,12,page,0x4eb800,22592,4,256,176,2,176,FILE24_p12_page.TIM
24,188,13,page,0x4f1800,22592,4,256,176,2,176,FILE24_p13_page.TIM
24,189,14,page,0x4f7800,22592,4,256,176,2,176,FILE24_p14_page.TIM
24,190,15,page,0x4fd800,22592,4,256,176,2,176,FILE24_p15_page.TIM
